page,tab_label,reserved_mirror_slots,mirror_word_ids,content_slots_used
0,INTI,0,,12
1,SIAPA & BOLEH,6,mau berhenti bantu tidak selesai sakit,11
2,ARAH & JUMLAH,6,mau berhenti bantu tidak selesai sakit,11
3,TANYA & SAPA,6,mau berhenti bantu tidak selesai sakit,12
4,GERAK,6,mau berhenti bantu tidak selesai sakit,12
5,SEHARI-HARI,6,mau berhenti bantu tidak selesai sakit,12
6,PERASAAN,6,mau berhenti bantu tidak selesai sakit,8
7,SIFAT,6,mau berhenti bantu tidak selesai sakit,8
8,MAKANAN,6,mau berhenti bantu tidak selesai sakit,8
9,ORANG,6,mau berhenti bantu tidak selesai sakit,7
10,TEMPAT,6,mau berhenti bantu tidak selesai sakit,7
11,BENDA,6,mau berhenti bantu tidak selesai sakit,6
12,TUBUH,6,mau berhenti bantu tidak selesai sakit,6
